Continent,Country,total_cases,Deaths,Population,gdp_per_capita
Asia,Nepal,787828,11059,29674920,2442.804
Europe,Netherlands,2027475,18528,17173094,48472.545
Oceania,New Caledonia,,,288217,
Oceania,New Zealand,4136,27,4860642,36085.843
North America,Nicaragua,13730,203,6702379,5321.444
Africa,Niger,5967,201,25130810,926
Africa,Nigeria,203081,2666,211400704,5338.454
Europe,North Macedonia,188113,6511,2082661,13111.214
Asia,Northern Cyprus,,,,
Europe,Norway,184609,850,5465629,64800.057
Asia,Oman,303512,4093,5223376,37960.709
Asia,Pakistan,1232595,27432,225199929,5034.708
Oceania,Palau,5,,18174,13240.405
Asia,Palestine,390369,3968,5222756,4449.898
North America,Panama,465147,7183,4381583,22267.037
Oceania,Papua New Guinea,19182,217,9119005,3823.194
South America,Paraguay,459720,16138,7219641,8827.01
South America,Peru,2169427,199108,33359415,12236.706
Asia,Philippines,2417419,37228,111046910,7599.188
Europe,Poland,2899888,75523,37797000,27216.445
Europe,Portugal,1063991,17933,10167923,27936.896
Asia,Qatar,235907,604,2930524,116935.6
Europe,Romania,1165886,35851,19127772,23313.199
Europe,Russia,7227549,197032,145912022,24765.954
Africa,Rwanda,96023,1226,13276517,1854.211
North America,Saint Kitts and Nevis,1718,10,53546,24654.385
North America,Saint Lucia,10727,168,184401,12951.839
North America,Saint Vincent and the Grenadines,2964,17,111269,10727.146
Oceania,Samoa,3,,200144,6021.557
Europe,San Marino,5423,90,34010,56861.47
Africa,Sao Tome and Principe,3192,46,223364,3052.714
Asia,Saudi Arabia,546735,8679,35340680,49045.411
Africa,Senegal,73692,1849,17196308,2470.58
Europe,Serbia,886543,7885,6908224,14048.881
Africa,Seychelles,21180,110,98910,26382.287
Africa,Sierra Leone,6393,121,8141343,1390.3
Asia,Singapore,81356,68,5896684,85535.383
North America,Sint Maarten (Dutch part),,,43421,36327.232
Europe,Slovakia,404982,12589,5460726,30155.152
Europe,Slovenia,286267,4516,2078723,31400.84
Oceania,Solomon Islands,20,,703995,2205.923
Africa,Somalia,19235,1079,16359500,
Africa,South Africa,2889298,86500,60041996,12294.876
Asia,South Korea,292699,2427,51305184,35938.374
Africa,South Sudan,11861,121,11381377,1569.888
Europe,Spain,4940824,86085,46745211,34272.36
Asia,Sri Lanka,508672,12376,21497306,11669.077
Africa,Sudan,38050,2881,44909351,4466.507
South America,Suriname,38769,825,591798,13767.119
Europe,Sweden,1147879,14809,10160159,46949.283
Europe,Switzerland,830251,11027,8715494,57410.166
Asia,Syria,31426,2158,18275704,
Asia,Taiwan,16159,841,23855008,
Asia,Tajikistan,17484,125,9749625,2896.913
Africa,Tanzania,1367,50,61498438,2683.304
Asia,Thailand,1511357,15753,69950844,16277.671
Asia,Timor,19206,108,1343875,6570.102
Africa,Togo,24902,216,8478242,1429.813
Oceania,Tonga,,,106759,5425.621
North America,Trinidad and Tobago,49111,1432,1403374,28763.071
Africa,Tunisia,702503,24654,11935764,10849.297
Asia,Turkey,6932423,62307,85042736,25129.341
Africa,Uganda,122502,3135,47123533,1697.707
Europe,Ukraine,2468567,58754,43466822,7894.393
Asia,United Arab Emirates,733643,2080,9991083,67293.483
Europe,United Kingdom,7565751,135961,68207114,39753.244
North America,United States,42550081,681956,332915074,54225.446
South America,Uruguay,388068,6049,3485152,20551.409
Asia,Uzbekistan,169989,1203,33935765,6253.104
Oceania,Vanuatu,4,1,314464,2921.909
Europe,Vatican,27,,812,
South America,Venezuela,358462,4346,28704947,16745.022
Asia,Vietnam,718963,17781,98168829,6171.884
Oceania,Wallis and Futuna,,,11094,
Asia,Yemen,8789,1658,30490639,1479.147
Africa,Zambia,208676,3639,18920657,3689.251
Africa,Zimbabwe,128804,4592,15092171,1899.775
